Name,Genre,Artist,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Liveness
Oops!...I Did It Again,pop,Britney Spears,0.751,0.834,-5.444,0.0437,0.3,1.77e-05,0.894,0.355
All The Small Things,"rock, pop",blink-182,0.434,0.897,-4.918,0.0488,0.0103,0.0,0.684,0.612
Breathe,"pop, country",Faith Hill,0.529,0.496,-9.007,0.029,0.173,0.0,0.278,0.251
It's My Life,"rock, metal",Bon Jovi,0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.544,0.347
Bye Bye Bye,pop,*NSYNC,0.614,0.928,-4.806,0.0516,0.0408,0.00104,0.879,0.0845
Thong Song,"hip hop, pop, R&B",Sisqo,0.706,0.888,-6.959,0.0654,0.119,9.64e-05,0.714,0.07
The Real Slim Shady,hip hop,Eminem,0.949,0.661,-4.244,0.0572,0.0302,0.0,0.76,0.0454
Rock DJ,"pop, rock",Robbie Williams,0.708,0.772,-4.264,0.0322,0.0267,0.0,0.861,0.467
Say My Name,"pop, R&B",Destiny's Child,0.713,0.678,-3.525,0.102,0.273,0.0,0.734,0.149
Lady - Hear Me Tonight,Dance/Electronic,Modjo,0.72,0.808,-5.627,0.0379,0.00793,0.0293,0.869,0.0634
L'Amour Toujours,pop,Gigi D'Agostino,0.617,0.728,-7.932,0.0292,0.0328,0.0482,0.808,0.36
Move Your Body - Gabry Ponte Original Radio Edit,pop,Eiffel 65,0.745,0.958,-9.664,0.0287,0.0813,0.324,0.96,0.533
Freestyler,pop,Bomfunk MC's,0.822,0.922,-5.798,0.0989,0.0291,0.325,0.568,0.252
Desert Rose,"rock, pop",Sting,0.586,0.659,-7.92,0.0304,0.011,0.0,0.147,0.106
Never Be The Same Again,"pop, Dance/Electronic",Melanie C,0.689,0.685,-5.153,0.0478,0.0921,0.0,0.398,0.119
Try Again,"hip hop, pop, R&B",Aaliyah,0.797,0.622,-5.642,0.29,0.0807,0.0,0.731,0.0841
